,Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
86,Wallyscar,16,occasion,Essence,Manuelle,7.0,1,5000,45000.0
87,Renault,Master,occasion,Diesel,Manuelle,8.0,0,0,8000.0
88,Peugeot,106,occasion,Essence,Manuelle,4.0,29,3918,9800.0
89,Peugeot,208,occasion,Essence,Manuelle,6.0,24,5922,111000.0
90,Renault,R19,occasion,Essence,Manuelle,7.0,24,8333,10700.0
91,Renault,Clio,occasion,Essence,Manuelle,4.0,23,4840,17500.0
92,Volkswagen,Polo,occasion,Essence,Manuelle,4.0,22,5303,13000.0
93,Renault,Laguna,occasion,Diesel,Manuelle,6.0,15,4333,30500.0
94,Renault,Clio,occasion,Essence,Manuelle,5.0,14,7951,23000.0
95,Dongfeng,S50,occasion,Essence,Manuelle,6.0,13,9278,42000.0
96,Citroen,C3,occasion,Essence,Manuelle,5.0,12,10165,26500.0
97,Peugeot,208,occasion,Essence,Manuelle,5.0,11,17000,26500.0
98,Citroen,C3,occasion,Essence,Manuelle,4.0,7,22000,32000.0
99,Chery,QQ,occasion,Essence,Manuelle,4.0,7,12857,21500.0
100,Tata,Xénon,occasion,Diesel,Manuelle,7.0,7,40428,35000.0
101,Chery,Tiggo,occasion,Essence,Manuelle,4.0,7,8301,20700.0
102,Tata,Xénon,occasion,Diesel,Manuelle,7.0,7,23457,31000.0
103,Tata,Xénon,occasion,Diesel,Manuelle,7.0,6,23500,35000.0
104,Haval,H6,occasion,Essence,Automatique,9.0,5,13760,85000.0
105,Wallyscar,Iris,occasion,Essence,Manuelle,4.0,5,3400,40000.0
106,Kia,Picanto,occasion,Essence,Manuelle,5.0,5,19960,40000.0
107,Haval,H6,occasion,Essence,Automatique,9.0,5,15800,123000.0
108,Dongfeng,S50,occasion,Essence,Manuelle,5.0,5,96000,38000.0
109,Haval,H6,occasion,Essence,Automatique,9.0,4,19180,85000.0
