Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
Renault,Laguna,occasion,Diesel,Manuelle,6.0,15,4333,30500
Renault,Clio,occasion,Essence,Manuelle,5.0,14,7951,23000
Dongfeng,S50,occasion,Essence,Manuelle,6.0,13,9278,42000
Citroen,C3,occasion,Essence,Manuelle,5.0,12,10165,26500
Peugeot,208,occasion,Essence,Manuelle,5.0,11,17000,26500
Citroen,C3,occasion,Essence,Manuelle,4.0,7,22000,32000
Chery,QQ,occasion,Essence,Manuelle,4.0,7,12857,21500
Tata,Xénon,occasion,Diesel,Manuelle,7.0,7,40428,35000
Chery,Tiggo,occasion,Essence,Manuelle,4.0,7,8301,20700
Tata,Xénon,occasion,Diesel,Manuelle,7.0,7,23457,31000
Tata,Xénon,occasion,Diesel,Manuelle,7.0,6,23500,35000
Haval,H6,occasion,Essence,Automatique,9.0,5,13760,85000
Wallyscar,Iris,occasion,Essence,Manuelle,4.0,5,3400,40000
Kia,Picanto,occasion,Essence,Manuelle,5.0,5,19960,40000
Haval,H6,occasion,Essence,Automatique,9.0,5,15800,123000
Dongfeng,S50,occasion,Essence,Manuelle,5.0,5,96000,38000
Haval,H6,occasion,Essence,Automatique,9.0,4,19180,85000
ZXAUTO,Grand Tiger,occasion,Diesel,Manuelle,9.0,4,18250,65000
Volkswagen,Tiguan,occasion,Essence,Automatique,8.0,4,15250,117000
Haval,H6,occasion,Essence,Automatique,9.0,4,16250,83000
Dongfeng,S50,occasion,Essence,Manuelle,6.0,4,22000,43000
Chery,Tiggo,occasion,Essence,Manuelle,4.0,4,9250,26000
Wallyscar,Iris,occasion,Essence,Manuelle,4.0,4,6370,35000
Haval,Jolion,occasion,Essence,Automatique,9.0,3,25574,84000
Dongfeng,SX3,occasion,Essence,Manuelle,8.0,3,18333,61000
Geely,GC6,occasion,Essence,Manuelle,6.0,2,23300,36000
Tata,Xénon,occasion,Diesel,Manuelle,7.0,2,6250,60000
Baic,S2,occasion,Essence,Manuelle,7.0,7,11142,36000
Baic,S2,occasion,Essence,Manuelle,7.0,7,15142,36000
Baic,S2,occasion,Essence,Manuelle,4.0,7,13285,36000
Baic,S2,occasion,Essence,Manuelle,7.0,7,14457,33500
Baic,S2,occasion,Essence,Manuelle,7.0,6,16333,32500
Baic,S2,occasion,Essence,Manuelle,5.0,5,13608,35000
Baic,S3,occasion,Essence,Manuelle,7.0,5,13608,40000
Bmw,E34,occasion,Essence,Manuelle,11.0,33,3984,8500
Bmw,Serie 3,occasion,Essence,Manuelle,6.0,13,12461,46000
Bmw,F10,occasion,Essence,Automatique,11.0,12,17083,90000
